customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,MonthlyCharges,TotalCharges,Churn
CUST0109,Male,0,No,Yes,31,Yes,Fiber optic,One year,107.43,3330.33,No
CUST0110,Female,1,No,No,64,No,No,Two year,33.45,2140.8,No
CUST0111,Male,0,No,Yes,71,No,Fiber optic,Month-to-month,37.28,2646.88,No
CUST0112,Female,0,Yes,No,33,Yes,DSL,Month-to-month,55.76,1840.08,No
CUST0113,Female,0,Yes,No,2,No,No,One year,49.07,98.14,No
CUST0114,Male,0,Yes,Yes,18,Yes,No,Two year,81.48,1466.64,No
CUST0115,Female,0,Yes,Yes,47,Yes,DSL,Two year,110.28,5183.16,No
CUST0116,Male,0,Yes,Yes,33,Yes,Fiber optic,Two year,116.23,3835.59,No
CUST0117,Female,1,Yes,Yes,35,Yes,No,Two year,85.36,2987.6,No
CUST0118,Female,0,No,No,51,No,No,One year,103.82,5294.82,No
CUST0119,Male,0,No,No,18,No,No,Two year,72.52,1305.36,No
CUST0120,Female,1,Yes,Yes,30,No,Fiber optic,One year,40.83,1224.9,No
CUST0121,Male,1,Yes,Yes,44,Yes,No,Two year,72.47,3188.68,No
CUST0122,Female,1,No,No,53,No,DSL,Two year,75.51,4002.03,No
CUST0123,Male,1,No,Yes,10,Yes,Fiber optic,Month-to-month,94.25,942.5,Yes
CUST0124,Male,0,No,No,52,Yes,DSL,One year,41.99,2183.48,No
CUST0125,Female,0,Yes,Yes,49,Yes,DSL,Month-to-month,56.83,2784.67,No
CUST0126,Female,0,No,No,11,Yes,No,One year,56.4,620.4,No
CUST0127,Male,0,Yes,No,66,Yes,No,Two year,115.94,7652.04,No
CUST0128,Female,0,Yes,No,58,Yes,No,Two year,64.39,3734.62,No
CUST0129,Female,0,No,No,36,No,DSL,One year,95.51,3438.36,No
CUST0130,Female,0,No,No,33,No,Fiber optic,Month-to-month,95.08,3137.64,No
CUST0131,Male,0,Yes,Yes,47,No,No,One year,46.55,2187.85,No
CUST0132,Male,0,No,No,13,No,No,One year,77.19,1003.47,No
CUST0133,Male,0,No,Yes,40,Yes,DSL,Two year,109.43,4377.2,No
CUST0134,Male,0,Yes,No,68,Yes,Fiber optic,Month-to-month,67.52,4591.36,No
CUST0135,Male,0,No,No,42,No,DSL,One year,114.51,4809.42,No
CUST0136,Male,1,Yes,Yes,19,No,No,Month-to-month,41.45,787.55,No
CUST0137,Male,0,Yes,Yes,19,No,DSL,Month-to-month,27.42,520.98,No
CUST0138,Male,0,No,Yes,58,No,No,One year,109.15,6330.7,No
CUST0139,Male,0,Yes,Yes,23,No,Fiber optic,Month-to-month,104.77,2409.71,Yes
CUST0140,Female,1,Yes,No,54,No,DSL,Two year,119.26,6440.04,No
CUST0141,Male,0,No,Yes,65,No,No,Two year,87.94,5716.1,No
CUST0142,Female,0,No,No,12,No,No,Two year,113.67,1364.04,No
CUST0143,Female,0,No,Yes,24,Yes,No,Two year,102.69,2464.56,No
CUST0144,Female,0,Yes,Yes,34,Yes,No,Month-to-month,104.44,3550.96,Yes
CUST0145,Male,1,Yes,No,53,Yes,DSL,Two year,76.91,4076.23,No
CUST0146,Male,0,No,No,8,Yes,No,One year,58.24,465.92,Yes
CUST0147,Male,0,Yes,Yes,18,No,DSL,Two year,113.46,2042.28,No
CUST0148,Male,1,No,No,57,Yes,No,One year,63.21,3602.97,No
CUST0149,Female,1,No,No,5,No,DSL,One year,73.88,369.4,Yes
CUST0150,Male,0,Yes,No,26,Yes,DSL,Two year,64.61,1679.86,No
CUST0151,Male,1,No,No,30,No,No,Two year,76.48,2294.4,No
CUST0152,Male,0,Yes,No,54,No,No,Month-to-month,67.05,3620.7,Yes
CUST0153,Male,0,Yes,No,13,Yes,No,One year,24.8,322.4,No
CUST0154,Male,0,No,No,29,Yes,No,Two year,108.2,3137.8,No
CUST0155,Female,0,Yes,No,3,No,Fiber optic,Month-to-month,64.44,193.32,No
CUST0156,Male,0,No,Yes,58,No,No,Two year,78.89,4575.62,No
CUST0157,Female,1,Yes,No,2,No,No,Two year,33.92,67.84,No
CUST0158,Male,1,Yes,Yes,28,Yes,No,Two year,20.34,569.52,No
CUST0159,Female,0,Yes,No,2,Yes,DSL,One year,44.53,89.06,No
CUST0160,Male,1,No,No,7,No,No,Two year,90.46,633.22,No
CUST0161,Male,0,Yes,No,26,Yes,DSL,Month-to-month,29.92,777.92,Yes
CUST0162,Female,0,No,No,16,No,DSL,Two year,110.89,1774.24,No
CUST0163,Female,0,Yes,Yes,23,Yes,DSL,Two year,41.5,954.5,No
CUST0164,Female,0,Yes,Yes,40,Yes,DSL,Month-to-month,40.46,1618.4,No
CUST0165,Male,1,No,No,60,Yes,Fiber optic,Month-to-month,38.15,2289.0,Yes
CUST0166,Female,1,No,Yes,32,Yes,No,One year,21.4,684.8,No
CUST0167,Male,0,No,No,15,Yes,DSL,One year,97.18,1457.7,No
CUST0168,Male,0,No,No,13,No,No,One year,107.5,1397.5,No
CUST0169,Female,0,No,Yes,5,No,DSL,One year,81.42,407.1,No
CUST0170,Female,0,Yes,Yes,52,Yes,Fiber optic,Month-to-month,38.82,2018.64,No
CUST0171,Male,1,Yes,No,41,No,DSL,Two year,48.53,1989.73,No
CUST0172,Male,0,No,No,53,No,No,Two year,67.59,3582.27,No
CUST0173,Female,0,Yes,Yes,50,Yes,No,Two year,115.43,5771.5,No
CUST0174,Female,0,Yes,No,15,No,Fiber optic,One year,44.74,671.1,No
CUST0175,Female,0,Yes,Yes,7,Yes,No,Month-to-month,93.16,652.12,Yes
CUST0176,Male,0,No,No,40,No,No,Month-to-month,63.94,2557.6,No
CUST0177,Male,0,Yes,No,28,No,DSL,Month-to-month,49.78,1393.84,No
CUST0178,Male,0,Yes,Yes,32,No,No,Two year,65.59,2098.88,No
CUST0179,Male,0,Yes,Yes,15,No,DSL,One year,27.12,406.8,No
CUST0180,Male,1,No,Yes,70,No,Fiber optic,Month-to-month,99.87,6990.9,No
CUST0181,Male,0,Yes,No,65,No,No,One year,44.33,2881.45,No
CUST0182,Female,0,Yes,No,4,No,DSL,Month-to-month,92.54,370.16,Yes
CUST0183,Male,1,No,No,11,Yes,No,One year,26.83,295.13,No
CUST0184,Male,0,No,No,26,Yes,DSL,Month-to-month,115.51,3003.26,No
CUST0185,Male,1,Yes,Yes,61,Yes,Fiber optic,One year,39.3,2397.3,No
CUST0186,Female,0,Yes,No,37,Yes,DSL,Month-to-month,108.27,4005.99,No
CUST0187,Male,0,No,No,23,No,No,Month-to-month,100.95,2321.85,No
CUST0188,Male,0,No,No,40,No,DSL,One year,116.79,4671.6,No
CUST0189,Female,0,No,Yes,23,No,No,One year,67.79,1559.17,No
CUST0190,Male,0,No,No,16,Yes,Fiber optic,Two year,92.74,1483.84,No
CUST0191,Male,0,No,No,61,Yes,DSL,One year,57.07,3481.27,No
CUST0192,Male,0,No,Yes,68,Yes,No,Month-to-month,38.44,2613.92,No
CUST0193,Male,0,No,No,31,No,No,Month-to-month,64.31,1993.61,Yes
CUST0194,Male,0,Yes,No,53,Yes,No,One year,36.57,1938.21,No
CUST0195,Female,1,No,Yes,25,No,DSL,Two year,118.2,2955.0,No
CUST0196,Female,1,No,No,44,Yes,DSL,One year,29.62,1303.28,No
CUST0197,Female,1,Yes,No,12,No,DSL,Month-to-month,78.92,947.04,No
CUST0198,Male,0,No,No,9,Yes,Fiber optic,Month-to-month,82.65,743.85,Yes
CUST0199,Male,0,No,Yes,12,No,No,Two year,73.81,885.72,No
CUST0200,Male,0,Yes,No,69,Yes,No,One year,86.22,5949.18,No
CUST0201,Female,0,No,No,54,Yes,Fiber optic,Month-to-month,31.62,1707.48,No
CUST0202,Male,0,Yes,Yes,54,No,Fiber optic,Month-to-month,75.5,4077.0,Yes
CUST0203,Male,0,Yes,Yes,28,No,DSL,Month-to-month,48.72,1364.16,Yes
CUST0204,Female,0,Yes,No,56,Yes,DSL,One year,114.02,6385.12,No
CUST0205,Male,0,Yes,No,69,No,DSL,One year,96.21,6638.49,No
CUST0206,Female,0,No,No,58,Yes,DSL,Two year,117.25,6800.5,No
CUST0207,Female,0,Yes,No,42,No,DSL,Month-to-month,23.76,997.92,Yes
CUST0208,Female,0,Yes,Yes,38,Yes,DSL,Month-to-month,48.51,1843.38,Yes
CUST0209,Male,1,No,No,68,No,Fiber optic,Two year,39.54,2688.72,No
CUST0210,Male,0,Yes,Yes,53,Yes,Fiber optic,Month-to-month,21.12,1119.36,No
CUST0211,Male,0,Yes,Yes,33,Yes,Fiber optic,Two year,44.23,1459.59,No
CUST0212,Male,0,Yes,No,71,Yes,No,Two year,87.88,6239.48,No
CUST0213,Male,0,Yes,No,56,No,No,Month-to-month,43.11,2414.16,Yes
CUST0214,Male,0,No,Yes,51,Yes,DSL,One year,70.9,3615.9,No
CUST0215,Male,0,Yes,Yes,43,No,Fiber optic,One year,108.78,4677.54,No
CUST0216,Female,0,No,No,15,No,No,One year,89.38,1340.7,No
CUST0217,Male,0,No,Yes,38,No,No,One year,59.46,2259.48,No
CUST0218,Female,0,Yes,No,15,Yes,Fiber optic,Month-to-month,57.25,858.75,No
CUST0219,Male,0,Yes,No,5,No,No,Two year,65.57,327.85,No
CUST0220,Male,1,Yes,Yes,54,No,No,Two year,37.7,2035.8,No
CUST0221,Male,0,Yes,Yes,51,No,Fiber optic,Month-to-month,83.4,4253.4,No
CUST0222,Female,0,No,No,10,Yes,No,One year,56.42,564.2,Yes
CUST0223,Female,1,No,Yes,12,No,Fiber optic,Two year,105.24,1262.88,No
CUST0224,Female,0,No,No,4,No,No,Month-to-month,95.66,382.64,No
CUST0225,Female,0,Yes,No,18,No,Fiber optic,Month-to-month,81.05,1458.9,Yes
CUST0226,Male,0,No,No,36,No,No,One year,56.42,2031.12,No
CUST0227,Female,0,Yes,Yes,25,Yes,No,Month-to-month,40.99,1024.75,No
CUST0228,Male,1,Yes,No,36,Yes,Fiber optic,Two year,97.62,3514.32,No
CUST0229,Male,0,Yes,No,67,No,No,Two year,68.64,4598.88,No
CUST0230,Female,1,Yes,No,9,No,Fiber optic,Month-to-month,42.48,382.32,No
CUST0231,Female,0,Yes,No,61,No,Fiber optic,Two year,39.52,2410.72,No
CUST0232,Female,0,No,No,53,No,No,Month-to-month,36.54,1936.62,No
CUST0233,Female,0,No,No,18,Yes,DSL,Two year,97.72,1758.96,No
CUST0234,Female,0,Yes,No,43,Yes,No,One year,42.9,1844.7,No
CUST0235,Female,0,No,No,35,Yes,DSL,Two year,72.66,2543.1,No
CUST0236,Female,1,Yes,No,63,Yes,DSL,One year,65.15,4104.45,No
CUST0237,Female,0,Yes,No,4,No,No,One year,77.96,311.84,Yes
CUST0238,Male,1,Yes,No,41,No,DSL,Month-to-month,107.72,4416.52,Yes
CUST0239,Female,0,No,Yes,45,Yes,Fiber optic,One year,106.77,4804.65,No
CUST0240,Female,1,Yes,No,50,Yes,Fiber optic,Two year,65.11,3255.5,No
CUST0241,Male,0,Yes,No,28,No,DSL,Two year,21.54,603.12,No
CUST0242,Female,0,No,No,42,No,Fiber optic,One year,62.64,2630.88,No
CUST0243,Male,1,No,Yes,69,No,No,Month-to-month,80.62,5562.78,Yes
CUST0244,Male,0,No,No,1,No,Fiber optic,One year,75.78,75.78,Yes
CUST0245,Female,0,Yes,Yes,39,No,DSL,Two year,85.13,3320.07,No
CUST0246,Male,0,Yes,No,17,Yes,No,Two year,35.41,601.97,No
CUST0247,Male,0,No,No,35,Yes,Fiber optic,One year,84.65,2962.75,No
CUST0248,Male,1,Yes,Yes,46,No,No,One year,38.27,1760.42,No
CUST0249,Male,0,No,No,42,No,DSL,One year,95.05,3992.1,No
CUST0250,Female,0,No,Yes,39,Yes,Fiber optic,Two year,53.91,2102.49,No
CUST0251,Male,0,Yes,Yes,49,No,No,Two year,90.99,4458.51,No
CUST0252,Female,0,Yes,No,62,Yes,No,Two year,24.79,1536.98,No
CUST0253,Male,0,No,No,38,Yes,Fiber optic,Month-to-month,60.79,2310.02,No
CUST0254,Male,0,No,No,23,Yes,No,Two year,90.5,2081.5,No
CUST0255,Male,0,No,No,22,Yes,No,Two year,42.69,939.18,No
CUST0256,Male,0,No,Yes,4,No,DSL,Month-to-month,99.53,398.12,No
CUST0257,Female,0,Yes,Yes,49,No,DSL,Month-to-month,83.08,4070.92,No
CUST0258,Female,0,No,No,59,Yes,DSL,Month-to-month,78.76,4646.84,No
CUST0259,Male,0,No,Yes,68,No,DSL,Month-to-month,55.35,3763.8,No
CUST0260,Male,0,No,Yes,71,No,DSL,Month-to-month,68.25,4845.75,Yes
CUST0261,Female,0,Yes,No,2,No,DSL,Month-to-month,79.73,159.46,Yes
CUST0262,Male,0,Yes,Yes,49,No,Fiber optic,One year,67.25,3295.25,No
CUST0263,Male,0,No,Yes,31,Yes,DSL,One year,89.83,2784.73,No
CUST0264,Male,0,Yes,No,40,No,No,One year,63.37,2534.8,No
CUST0265,Female,0,Yes,Yes,48,Yes,Fiber optic,One year,40.23,1931.04,No
CUST0266,Female,0,Yes,No,51,Yes,No,Two year,41.39,2110.89,No
CUST0267,Female,0,No,Yes,43,No,DSL,Month-to-month,20.58,884.94,No
CUST0268,Male,0,No,No,55,Yes,DSL,Two year,50.1,2755.5,No
CUST0269,Male,0,Yes,Yes,49,No,No,Month-to-month,94.89,4649.61,No
CUST0270,Female,0,No,Yes,57,No,No,Month-to-month,99.42,5666.94,No
CUST0271,Female,1,No,No,15,Yes,No,Two year,40.25,603.75,No
CUST0272,Female,0,Yes,No,27,No,Fiber optic,One year,115.9,3129.3,No
CUST0273,Female,0,Yes,No,68,Yes,DSL,Two year,70.24,4776.32,No
CUST0274,Male,0,No,No,64,Yes,No,Two year,111.7,7148.8,No
CUST0275,Female,0,Yes,Yes,30,No,DSL,Month-to-month,90.68,2720.4,Yes
CUST0276,Male,0,No,Yes,36,No,No,Month-to-month,92.24,3320.64,No
CUST0277,Female,1,No,Yes,67,No,DSL,Month-to-month,28.5,1909.5,No
CUST0278,Male,0,Yes,No,49,Yes,Fiber optic,One year,42.0,2058.0,No
CUST0279,Female,0,No,Yes,55,No,DSL,Two year,20.88,1148.4,No
CUST0280,Female,0,No,Yes,56,Yes,No,Two year,91.61,5130.16,No
CUST0281,Female,0,Yes,No,68,Yes,DSL,One year,54.44,3701.92,No
CUST0282,Female,0,Yes,No,44,No,Fiber optic,Two year,98.67,4341.48,No
CUST0283,Male,0,Yes,Yes,31,No,Fiber optic,Two year,53.89,1670.59,No
CUST0284,Female,0,No,No,58,No,DSL,Month-to-month,101.93,5911.94,No
CUST0285,Male,0,Yes,Yes,53,Yes,No,One year,33.07,1752.71,No
CUST0286,Male,0,Yes,Yes,23,No,Fiber optic,Month-to-month,37.34,858.82,No
CUST0287,Male,0,Yes,No,28,Yes,Fiber optic,One year,54.09,1514.52,No
CUST0288,Male,0,Yes,Yes,16,No,DSL,Month-to-month,60.85,973.6,No
CUST0289,Female,0,No,No,37,No,Fiber optic,Two year,54.87,2030.19,No
CUST0290,Male,0,No,No,21,Yes,Fiber optic,One year,96.36,2023.56,No
CUST0291,Male,0,Yes,Yes,17,Yes,No,One year,29.7,504.9,No
CUST0292,Male,0,No,Yes,37,No,No,Month-to-month,55.12,2039.44,No
CUST0293,Female,0,Yes,Yes,19,No,No,One year,103.72,1970.68,No
CUST0294,Female,1,Yes,No,30,No,DSL,Two year,26.68,800.4,No
CUST0295,Female,0,No,Yes,45,No,Fiber optic,Two year,114.23,5140.35,No
CUST0296,Female,0,No,No,18,No,DSL,Two year,118.63,2135.34,No
CUST0297,Male,0,Yes,No,62,Yes,Fiber optic,Month-to-month,28.86,1789.32,No
CUST0298,Male,0,Yes,Yes,36,Yes,Fiber optic,One year,49.13,1768.68,No
CUST0299,Female,0,No,No,52,Yes,Fiber optic,Month-to-month,57.24,2976.48,No
CUST0300,Male,0,Yes,Yes,19,Yes,No,Two year,97.64,1855.16,No
CUST0301,Male,1,No,Yes,44,No,DSL,One year,79.59,3501.96,No
CUST0302,Male,0,Yes,Yes,7,Yes,DSL,Two year,84.44,591.08,Yes
CUST0303,Female,0,Yes,Yes,44,Yes,Fiber optic,One year,95.75,4213.0,No
CUST0304,Female,0,No,Yes,68,Yes,DSL,One year,31.8,2162.4,No
CUST0305,Male,1,No,Yes,34,No,No,Month-to-month,103.32,3512.88,Yes
CUST0306,Female,0,No,Yes,66,Yes,DSL,One year,90.56,5976.96,No
CUST0307,Female,1,No,No,69,No,Fiber optic,Two year,77.73,5363.37,No
CUST0308,Female,0,No,Yes,55,Yes,No,One year,108.97,5993.35,No
CUST0309,Female,1,No,No,10,No,No,Two year,90.03,900.3,No
CUST0310,Female,0,No,No,42,Yes,Fiber optic,Month-to-month,40.17,1687.14,No
CUST0311,Male,1,Yes,No,41,No,DSL,Two year,62.97,2581.77,No
CUST0312,Female,0,Yes,Yes,69,Yes,Fiber optic,One year,69.4,4788.6,No
CUST0313,Male,1,Yes,No,10,No,DSL,Two year,25.52,255.2,No
CUST0314,Male,0,No,No,10,No,DSL,Two year,115.46,1154.6,Yes
CUST0315,Female,0,No,Yes,60,Yes,No,One year,32.86,1971.6,No
CUST0316,Male,0,No,Yes,51,No,Fiber optic,Two year,89.75,4577.25,No
CUST0317,Male,0,Yes,No,21,No,No,One year,70.62,1483.02,No
CUST0318,Male,0,No,Yes,8,Yes,Fiber optic,Month-to-month,22.56,180.48,No
CUST0319,Female,0,No,Yes,65,Yes,Fiber optic,Two year,112.47,7310.55,No
CUST0320,Female,0,Yes,Yes,30,No,No,Month-to-month,105.18,3155.4,No
CUST0321,Male,0,No,Yes,49,Yes,Fiber optic,Two year,72.43,3549.07,No
CUST0322,Female,1,Yes,No,9,Yes,Fiber optic,Two year,42.89,386.01,No
CUST0323,Female,0,Yes,Yes,17,Yes,DSL,Month-to-month,32.16,546.72,Yes
CUST0324,Female,1,No,Yes,69,No,Fiber optic,Two year,56.34,3887.46,No
CUST0325,Female,0,No,Yes,58,No,Fiber optic,Two year,45.54,2641.32,No
CUST0326,Male,0,No,No,57,No,No,Month-to-month,70.67,4028.19,No
CUST0327,Male,0,Yes,No,62,No,No,Two year,116.64,7231.68,No
CUST0328,Female,0,Yes,Yes,52,No,Fiber optic,One year,77.5,4030.0,No
CUST0329,Female,0,Yes,Yes,61,No,DSL,Two year,108.99,6648.39,No
CUST0330,Male,0,No,No,40,No,DSL,Two year,85.09,3403.6,No
CUST0331,Male,0,No,Yes,38,Yes,No,Two year,67.52,2565.76,No
