Country,Year,Status,Adult Mortality,infant deaths,Alcohol,BMI,GDP,Population,Schooling,Life expectancy
Country A,2000,Developing,335,516,2.93,15.1,665.2,29866711,18.1,61.2
Country C,2004,Developed,502,611,7.99,61.9,59646.9,70611445,13.4,69.1
Country C,2007,Developed,161,204,8.58,76.5,65413.89,65346113,13.4,80.3
Country A,2002,Developing,390,179,6.38,59.0,82810.43,11984782,0.6,51.4
Country D,2001,Developed,71,528,3.62,68.6,19980.73,40878073,18.8,84.7
Country C,2000,Developing,92,89,14.4,44.0,52456.55,48762512,15.4,66.8
Country D,2012,Developed,361,499,6.21,32.3,44740.79,50815627,15.3,78.2
Country C,2003,Developed,321,107,10.91,57.3,66460.82,18373247,18.2,74.3
Country A,2015,Developed,245,189,2.77,44.5,6441.11,71995457,11.6,70.2
Country B,2010,Developing,24,179,12.34,72.7,88407.09,17508612,7.9,67.0
Country B,2001,Developed,557,760,3.25,78.2,51140.18,75047895,9.6,70.7
Country D,2013,Developed,403,762,10.13,67.4,87710.69,10130941,15.5,72.6
Country B,2007,Developing,373,19,7.6,79.5,34056.7,78313232,15.4,58.6
Country A,2010,Developed,286,358,2.21,34.4,65369.55,23928541,12.2,75.5
Country B,2012,Developed,441,608,0.38,72.7,95674.68,5582450,4.4,68.0
Country D,2014,Developing,595,733,13.96,33.1,94340.75,49360923,16.4,55.0
Country A,2009,Developing,352,655,1.89,18.3,94413.07,87113770,12.9,57.7
Country A,2011,Developing,219,6,10.58,53.5,4342.54,16678460,4.4,56.9
Country C,2008,Developed,485,861,9.79,41.8,40331.45,68979937,9.6,71.1
Country C,2012,Developed,443,321,5.13,74.5,6125.09,52379503,19.9,76.1
Country B,2009,Developed,218,267,2.79,44.5,30982.23,68968546,6.6,73.0
Country D,2000,Developed,67,426,2.68,74.9,17499.08,85191661,2.3,73.5
Country A,2014,Developed,31,295,8.78,15.5,62032.74,32888632,0.4,78.9
Country B,2001,Developing,322,512,8.21,68.1,78085.58,33581517,3.7,54.3
Country B,2005,Developed,250,569,13.14,63.1,51359.03,46912199,3.7,72.9
Country C,2012,Developing,566,386,9.6,60.4,79557.53,71891949,17.2,62.2
Country B,2009,Developed,10,263,12.29,34.9,1330.69,73390466,3.1,77.7
Country B,2011,Developed,678,89,0.5,64.9,82056.61,90204692,17.3,71.0
Country C,2006,Developing,285,487,10.07,43.8,17877.1,69932545,1.7,57.6
Country B,2001,Developed,153,586,3.51,60.1,46120.54,1936363,18.1,83.8
Country B,2007,Developed,544,956,3.8,48.7,44286.43,64166652,5.1,66.6
Country A,2012,Developing,529,852,10.81,21.0,87321.9,16964570,12.2,52.9
Country B,2009,Developing,371,260,11.9,14.5,96599.62,75832579,3.2,53.9
Country C,2015,Developed,301,487,5.58,35.6,25549.34,96930567,7.8,74.0
Country C,2008,Developing,146,793,11.85,75.3,6787.95,90540772,1.7,57.2
Country A,2007,Developed,587,340,6.66,47.1,65069.65,61197192,11.6,68.6
Country C,2008,Developing,636,328,12.87,66.2,50308.92,94519553,6.9,54.0
Country C,2014,Developed,52,400,0.38,50.3,56592.23,69807736,17.0,84.0
Country C,2005,Developing,404,356,1.26,77.1,4674.71,19326879,3.6,54.9
Country B,2010,Developing,141,754,11.65,35.9,77542.22,14759515,5.6,57.9
Country A,2006,Developed,88,498,9.37,14.0,23273.72,1331131,3.5,74.5
Country D,2005,Developing,427,833,8.39,64.6,33526.93,69079045,11.3,57.9
Country A,2006,Developing,84,434,9.21,59.4,22873.95,32273248,2.2,60.7
Country A,2002,Developing,243,118,13.95,46.9,94597.16,17043948,3.8,60.2
Country A,2003,Developed,106,46,9.84,32.8,16913.75,60248813,13.6,81.0
Country D,2008,Developing,604,167,9.72,23.2,73245.28,7563363,1.5,47.6
Country D,2002,Developing,355,347,11.39,43.8,24612.44,76231077,14.9,64.1
Country C,2001,Developing,21,503,13.0,56.6,42520.72,90573169,2.1,60.1
Country B,2011,Developed,6,538,3.94,50.5,99606.38,93116017,11.7,82.6
Country C,2012,Developed,221,295,9.26,40.6,10102.65,83407441,20.0,79.4
Country C,2010,Developing,87,512,8.76,47.8,88141.86,76844732,3.5,58.5
Country D,2006,Developed,692,173,2.03,17.6,94607.69,84735763,5.2,61.1
Country C,2005,Developing,453,394,7.81,58.7,69837.82,62773279,18.0,57.4
Country C,2002,Developed,342,678,1.05,61.4,1045.72,711787,12.5,73.5
Country D,2005,Developing,393,529,2.78,10.8,82088.82,8056564,9.9,59.7
Country A,2014,Developed,352,602,13.7,28.9,88233.08,62688433,11.3,74.1
Country A,2006,Developing,246,302,1.8,16.4,98094.37,98681527,5.9,54.5
Country D,2005,Developing,686,201,8.69,79.9,83939.61,85654445,17.1,56.5
Country B,2000,Developed,113,995,4.86,51.5,44586.42,30526017,14.9,80.2
Country C,2011,Developing,583,532,8.33,42.6,68880.54,3608229,12.8,57.8
Country A,2013,Developing,158,155,3.53,42.4,48538.59,71401712,18.6,65.2
Country D,2000,Developing,237,896,6.67,77.5,35334.18,63655445,11.6,59.3
Country B,2008,Developed,699,13,13.01,56.2,62661.33,83987231,10.2,69.6
Country C,2005,Developing,243,19,5.65,21.8,76994.75,38910769,19.5,66.9
Country D,2011,Developing,166,755,5.3,41.4,63608.28,40361999,4.1,55.3
Country D,2001,Developing,34,888,6.7,64.2,82666.51,88475736,2.8,61.4
Country D,2014,Developed,255,456,1.52,39.6,17678.68,71840058,3.2,68.1
Country C,2010,Developing,302,172,5.82,31.7,37400.77,54013130,19.8,65.8
Country A,2000,Developed,220,444,0.11,79.4,31292.95,55969901,13.0,74.9
Country C,2010,Developing,32,922,7.56,75.5,19453.01,45560570,6.1,59.9
Country C,2011,Developed,509,121,12.72,75.9,44345.27,43280985,5.0,70.1
Country A,2001,Developed,482,496,8.29,19.2,94789.89,70295635,1.1,66.7
Country D,2007,Developed,233,183,9.12,26.4,53823.93,16137334,2.6,73.1
Country B,2004,Developing,215,819,0.47,40.9,28676.17,59471392,18.2,63.8
Country B,2006,Developed,242,579,12.89,68.2,35438.36,77682957,14.9,77.4
Country A,2006,Developed,245,804,5.78,61.6,61326.92,62297340,18.8,82.6
Country A,2001,Developed,20,849,14.62,69.5,35307.04,56314394,8.5,79.5
Country D,2015,Developed,210,670,1.82,74.5,53857.75,94890894,12.0,81.5
Country B,2003,Developed,426,48,14.17,64.7,27452.28,14830843,9.7,70.9
Country B,2001,Developed,72,180,9.52,28.3,34625.83,43648209,17.6,84.3
Country D,2006,Developed,674,806,0.79,30.0,70587.5,22249705,19.8,73.6
Country A,2004,Developed,178,393,14.58,34.7,58482.6,60728020,18.7,81.2
Country A,2000,Developed,523,392,0.22,31.2,9394.01,51446791,12.0,73.3
Country D,2001,Developing,299,347,10.96,27.4,97319.59,11956566,1.2,53.5
Country A,2005,Developed,266,475,13.34,62.7,4981.23,64579907,12.4,77.6
Country C,2013,Developed,520,140,2.65,12.4,8339.81,5777119,1.9,63.5
Country A,2003,Developed,495,529,5.16,61.0,70153.54,43978859,2.8,64.0
Country C,2006,Developed,275,651,8.42,67.6,70816.41,68487914,3.8,71.5
Country B,2014,Developed,53,583,10.2,14.6,1942.61,78886656,7.3,77.3
Country B,2001,Developed,608,470,13.08,14.3,64293.25,38336855,11.8,66.5
Country A,2012,Developed,400,753,11.42,30.0,3374.34,15758576,6.7,71.9
Country D,2011,Developing,414,772,5.46,24.6,96078.96,96402622,9.0,59.3
Country A,2001,Developing,604,262,12.33,50.7,69629.45,92001240,0.9,47.7
Country D,2011,Developing,656,142,14.49,57.3,18698.48,11896065,12.4,55.2
Country B,2005,Developed,489,706,3.41,54.4,15852.57,9646887,13.1,70.5
Country B,2007,Developed,502,145,1.12,35.0,56987.75,32921081,2.0,65.6
Country B,2012,Developing,307,293,6.41,44.9,63370.2,53638079,15.7,61.6
Country D,2000,Developing,417,537,13.22,54.8,83132.2,20732738,12.9,59.8
Country D,2004,Developed,509,508,2.26,18.4,90336.95,19708905,9.8,69.6
Country B,2000,Developed,530,421,13.29,26.1,39283.72,76709352,11.1,66.0
Country A,2014,Developing,638,570,14.88,72.3,84416.28,65840919,10.1,54.7
Country D,2010,Developing,666,563,0.82,34.0,54260.88,36623799,1.1,47.5
Country C,2015,Developing,6,416,7.43,66.1,47084.68,53234086,14.7,62.6
Country B,2005,Developing,422,660,4.94,27.6,69912.12,13498706,10.2,59.5
Country D,2006,Developed,451,912,5.91,12.9,10364.34,51974335,3.5,70.7
Country B,2005,Developing,427,106,6.78,45.0,26575.38,40359051,13.6,56.1
Country C,2015,Developing,390,317,11.1,72.5,81685.43,23116454,13.9,56.3
Country A,2013,Developed,334,58,8.87,67.3,50432.68,82598450,4.3,72.8
Country C,2012,Developing,448,257,14.42,27.7,90808.94,74739201,15.9,61.3
Country A,2008,Developing,338,959,5.0,73.7,8915.94,44451302,9.1,58.8
Country A,2002,Developing,88,792,8.13,43.6,31375.61,11117313,3.6,59.1
Country D,2007,Developed,269,424,12.2,13.4,35587.21,9484484,13.2,74.6
Country A,2002,Developed,65,530,5.6,12.0,42300.9,40199698,11.9,80.9
Country A,2010,Developing,678,165,6.98,44.0,98682.66,63610472,3.4,46.9
Country A,2014,Developed,64,24,10.28,48.2,31100.74,68879088,17.4,81.1
Country B,2011,Developed,270,934,12.91,15.6,51892.31,51833090,17.1,79.7
Country D,2012,Developing,657,3,6.24,74.6,53630.33,29192238,16.7,57.2
Country D,2012,Developed,377,2,7.98,60.3,77091.25,24361820,8.0,74.5
Country A,2006,Developing,329,417,14.63,66.1,51811.01,74242397,16.5,58.0
Country B,2013,Developed,518,361,0.65,50.9,60593.45,67749098,16.9,72.1
Country A,2012,Developing,633,905,6.73,56.4,75345.14,71736740,19.9,56.6
Country D,2004,Developed,421,368,9.54,37.2,10158.14,22334057,19.2,76.1
Country D,2011,Developed,313,538,0.14,57.6,96349.04,9955683,7.7,70.0
Country D,2012,Developing,309,879,8.96,78.5,84638.1,49580849,4.0,57.0
Country D,2000,Developing,644,345,0.85,55.3,38907.82,6603320,5.8,53.8
Country B,2014,Developing,189,730,12.86,33.9,72855.34,66914021,9.9,58.8
Country C,2010,Developing,42,896,12.11,30.0,76244.39,72319366,16.1,67.6
Country C,2011,Developed,590,43,0.49,77.4,85032.13,97149992,14.5,73.0
Country B,2003,Developed,320,723,0.74,23.0,18872.27,38506849,15.8,76.0
Country A,2013,Developing,657,563,11.31,66.4,70385.09,7917177,7.6,49.2
Country D,2012,Developed,445,152,5.55,42.6,3382.39,76028525,4.9,68.9
Country D,2010,Developing,374,201,8.63,41.1,11602.13,80691277,0.5,54.2
Country D,2014,Developed,286,320,4.06,62.3,77617.89,60112848,12.5,73.0
Country B,2008,Developing,171,463,2.6,20.4,81309.65,86539281,15.9,66.6
Country B,2015,Developed,605,10,4.45,42.6,59264.02,27563862,17.8,71.4
Country D,2014,Developing,263,579,3.71,12.5,58189.51,771243,9.5,58.2
Country D,2007,Developed,535,226,6.73,56.9,74963.67,18483535,18.6,70.5
Country A,2002,Developed,142,632,11.2,14.1,90613.18,93601866,4.0,72.9
Country C,2014,Developing,148,332,8.32,16.1,42140.46,15759632,10.3,61.0
Country B,2001,Developed,440,468,9.14,69.1,11526.37,29854098,4.3,66.0
Country C,2010,Developed,628,14,7.06,41.0,83907.99,14590684,3.8,65.3
Country D,2008,Developing,593,56,4.88,24.1,34197.33,96584350,19.1,58.0
Country C,2000,Developing,416,329,2.16,51.5,13421.89,96100218,16.4,61.8
Country C,2008,Developing,25,63,5.32,46.3,61480.91,89758180,0.2,61.0
Country B,2011,Developing,627,229,9.98,38.8,57829.49,53429665,5.4,48.9
Country B,2006,Developed,94,10,11.01,73.4,47450.91,69691781,4.1,74.5
Country A,2011,Developing,305,632,7.04,62.5,85986.73,52393838,2.9,53.9
Country D,2001,Developing,185,223,9.68,20.6,27258.97,90881452,13.9,60.1
Country A,2010,Developing,283,736,3.17,50.0,1372.86,15404327,11.3,60.8
Country B,2004,Developed,155,636,12.9,16.2,32380.7,5941082,9.1,76.8
Country A,2013,Developed,686,659,12.99,27.1,1020.11,95854559,3.8,62.0
Country C,2001,Developed,685,739,4.81,73.7,54381.94,14206378,5.6,65.7
Country C,2014,Developed,666,541,8.22,42.3,37855.92,44425063,7.1,64.6
Country B,2004,Developing,14,505,9.1,72.4,81403.58,60495926,15.7,70.0
Country C,2015,Developed,640,521,7.09,21.6,79768.66,76801742,19.8,71.8
Country D,2006,Developed,341,53,13.67,24.4,43492.12,33455436,3.7,67.4
Country B,2004,Developing,604,697,11.1,34.7,21687.7,88308273,6.8,54.4
Country D,2001,Developing,473,718,10.09,35.6,42271.87,12052976,5.6,54.1
Country B,2010,Developed,108,766,7.81,62.2,64149.71,7885054,0.9,71.4
Country B,2013,Developing,331,156,1.28,52.0,19061.09,19631645,4.4,54.8
Country C,2004,Developed,540,640,1.63,48.7,77316.01,3410787,18.0,71.5
Country B,2011,Developed,439,569,4.49,52.2,33089.49,34613448,16.9,76.7
Country B,2011,Developed,666,404,3.18,61.3,93221.09,47847099,3.4,59.2
Country A,2009,Developing,384,398,14.29,72.5,51211.46,67183279,7.3,56.5
Country C,2013,Developing,582,706,6.15,39.0,84720.3,33121496,6.2,48.0
Country D,2005,Developed,160,928,13.15,66.2,61608.46,31228361,3.0,69.5
Country B,2014,Developed,432,933,12.27,44.7,55482.45,23997510,12.4,73.4
Country D,2004,Developing,396,402,12.19,60.5,68228.91,76761248,11.1,55.2
Country A,2001,Developed,615,899,3.24,71.2,81158.54,99973231,8.5,68.3
Country B,2005,Developing,488,587,6.72,12.3,64468.53,34339728,17.1,60.7
Country D,2005,Developing,189,88,4.78,48.3,79734.21,14101797,12.4,61.5
Country C,2011,Developing,418,865,14.56,79.3,19086.99,77336441,5.2,55.2
Country A,2001,Developing,343,592,13.15,44.7,27787.78,44381721,7.5,59.8
Country A,2012,Developed,361,185,3.76,70.5,23010.8,19093136,3.0,67.4
Country D,2015,Developing,109,837,4.71,23.0,79840.4,50015307,11.8,65.4
Country B,2012,Developing,301,779,7.94,52.3,8658.55,62967129,11.7,58.3
Country B,2003,Developing,368,894,4.19,70.9,79596.53,7998008,17.4,61.3
Country C,2015,Developed,255,78,12.37,40.2,38934.78,28436467,17.1,77.2
Country C,2006,Developed,316,144,12.29,44.1,7996.74,76621495,16.7,75.9
Country B,2015,Developed,71,640,10.87,15.7,42471.4,69729332,11.0,78.4
Country A,2015,Developed,269,13,10.34,13.0,30085.2,51041842,13.0,74.9
Country C,2000,Developed,501,630,8.21,42.8,59215.62,49571765,15.5,72.5
Country C,2000,Developing,209,1,5.21,69.0,47279.04,86264606,1.8,59.1
Country A,2013,Developed,478,515,12.56,75.2,29712.9,19908931,6.0,65.7
Country B,2010,Developed,176,755,12.88,56.1,86233.48,84461986,3.4,74.0
Country D,2011,Developing,239,65,0.75,67.8,40711.8,72205276,10.2,58.2
Country C,2010,Developed,610,245,5.99,61.4,47095.46,24913562,16.8,69.2
Country A,2005,Developed,442,601,0.41,59.1,84670.52,34047039,4.6,64.7
Country C,2006,Developing,601,429,12.59,63.8,8951.21,26821532,14.6,57.4
Country A,2011,Developed,492,689,2.66,45.4,39019.82,90033592,8.1,68.7
Country C,2004,Developed,99,571,10.11,42.1,40315.53,90616560,18.1,80.3
Country B,2014,Developing,329,231,5.37,21.1,49607.77,95905237,12.5,59.9
Country A,2011,Developed,326,435,12.24,69.1,10656.75,33671365,19.5,77.5
Country D,2009,Developed,445,352,7.65,13.1,10310.88,64248780,4.9,70.8
Country D,2007,Developing,666,687,4.87,28.7,41670.77,42084445,18.5,53.9
Country C,2010,Developed,295,678,4.86,46.4,3351.25,76338287,7.1,72.4
Country D,2003,Developed,442,382,4.91,78.0,25535.69,99773602,12.4,74.1
Country C,2015,Developed,31,709,11.83,65.0,20157.62,2778629,3.5,74.0
Country A,2002,Developed,131,59,10.67,35.8,48964.16,14753322,15.2,79.1
Country A,2006,Developed,527,925,4.8,60.0,1165.4,58167692,19.6,71.7
Country D,2013,Developing,438,469,7.36,75.2,67589.56,60863680,15.7,57.4
Country D,2003,Developed,326,410,1.15,47.7,85565.95,89128581,12.3,71.5
Country B,2000,Developing,267,82,12.41,42.3,70688.81,26154789,9.0,57.0
Country A,2010,Developed,286,73,4.0,48.7,81816.91,17909845,6.9,70.1
Country D,2007,Developed,291,310,13.34,31.8,64349.47,38597892,8.4,72.0
Country D,2004,Developing,368,453,8.96,73.5,50761.34,22429530,6.6,57.9
Country D,2012,Developing,486,25,8.52,65.8,21941.21,69244649,16.7,59.2
Country C,2007,Developing,555,425,2.45,59.4,27998.65,34562625,17.9,60.4
Country B,2007,Developed,168,376,1.05,51.2,31804.91,79674192,19.0,80.4
Country A,2011,Developed,471,242,8.29,77.9,3849.87,66494938,8.4,68.0
Country D,2004,Developing,170,834,7.03,30.8,91313.22,76721824,10.9,61.8
Country D,2007,Developed,346,627,1.8,29.8,90035.26,33259182,11.5,72.6
Country D,2006,Developed,78,322,12.54,26.9,10822.4,49755641,13.0,80.8
Country C,2012,Developed,85,179,6.26,61.9,55691.52,74784941,0.0,70.3
Country A,2002,Developed,661,773,3.91,65.8,46790.75,47509986,16.9,70.1
Country D,2014,Developed,201,625,11.83,51.8,68357.23,33393359,5.4,76.7
Country D,2003,Developing,589,265,13.7,55.6,60321.62,62491650,9.4,51.1
Country C,2010,Developed,361,549,4.6,34.4,12475.96,20442083,16.8,75.3
Country C,2011,Developing,565,379,11.64,12.8,66024.76,54364189,19.9,55.2
Country B,2012,Developed,302,76,9.79,27.8,60906.79,46618079,15.9,79.1
Country B,2006,Developed,293,613,14.85,50.9,53145.8,95476688,0.5,69.2
Country A,2003,Developed,294,523,3.07,66.9,40270.51,88597631,7.4,71.8
Country B,2005,Developed,109,813,14.41,64.4,95494.35,15931080,4.9,75.4
Country A,2011,Developing,365,48,4.74,22.6,84951.48,21067967,19.3,62.2
Country B,2001,Developed,600,253,6.19,13.6,58529.24,63127334,5.3,64.2
Country D,2011,Developed,678,858,5.39,69.5,687.46,40227211,18.9,68.1
Country B,2001,Developing,494,379,4.03,15.3,43240.72,29985091,18.8,59.8
Country D,2002,Developed,267,248,10.4,37.5,70048.96,77470011,16.8,78.1
Country A,2009,Developed,93,71,8.84,16.6,11773.56,12481316,2.0,73.4
Country B,2006,Developed,685,446,4.59,49.5,40684.63,99678009,0.0,60.7
Country B,2002,Developing,64,505,1.99,35.4,19212.94,9179463,15.9,68.8
Country B,2011,Developed,428,708,4.77,24.2,33847.39,58960520,16.9,75.5
Country D,2002,Developing,638,252,5.72,51.7,2715.59,46461489,19.2,54.2
Country D,2012,Developing,368,995,5.72,35.4,12716.9,8803184,4.4,57.4
Country B,2013,Developed,105,869,5.37,21.7,45502.95,93784414,14.7,81.6
Country A,2003,Developed,209,298,0.74,59.0,89824.08,57309696,10.4,77.2
Country D,2014,Developed,574,733,6.97,68.6,49083.63,58241908,6.6,65.2
Country C,2009,Developed,474,59,12.54,29.2,45335.09,55556374,12.1,73.3
Country A,2005,Developing,61,356,2.71,23.0,78767.56,14420321,11.0,64.6
Country A,2000,Developed,346,156,2.19,15.3,26819.62,28903788,5.8,68.7
Country A,2005,Developed,12,341,7.08,47.0,9552.12,13131014,5.4,78.0
Country D,2007,Developed,466,973,5.57,68.2,20996.78,22126921,9.7,72.4
Country B,2011,Developing,649,893,8.42,27.6,79140.52,82353040,9.5,52.9
Country B,2014,Developed,195,201,14.21,42.2,67720.94,66180698,6.0,70.5
Country C,2014,Developed,74,778,11.42,21.3,9198.74,43508629,5.3,77.0
Country B,2007,Developed,386,34,10.31,38.3,66725.96,35965144,19.1,76.1
Country C,2005,Developed,136,766,6.24,11.1,93158.57,22005074,17.2,77.1
Country C,2005,Developed,555,534,4.32,73.8,4543.25,99806781,16.3,73.3
Country B,2012,Developed,436,455,8.11,57.4,61660.99,44637292,4.3,69.8
Country C,2002,Developed,39,916,13.28,33.3,37947.5,73073395,3.8,76.1
Country A,2013,Developing,543,164,13.15,71.7,50128.09,26795260,16.2,55.2
Country A,2001,Developing,654,27,6.69,22.8,52841.47,10601026,3.7,51.6
Country A,2006,Developed,320,371,3.7,15.5,77116.06,99546744,10.1,74.7
Country D,2007,Developed,556,862,3.39,76.0,55723.4,44116303,4.4,67.3
Country C,2009,Developed,353,313,0.52,31.6,59328.91,72163967,7.6,73.6
Country C,2012,Developing,514,564,12.64,75.5,33324.54,13700836,17.1,60.7
Country A,2013,Developed,483,283,3.98,54.6,12638.23,953747,17.8,74.9
Country D,2005,Developed,416,297,5.39,78.6,68289.1,30695205,19.9,74.4
Country B,2004,Developing,370,474,12.14,62.7,98.19,62766650,18.9,60.7
Country A,2003,Developing,343,999,1.81,17.4,32905.28,50155825,13.4,58.8
Country D,2000,Developed,325,596,6.92,69.7,21843.49,67875619,8.6,75.2
Country B,2008,Developed,367,968,1.84,20.4,38883.92,82693199,1.2,68.7
Country D,2010,Developing,336,348,6.63,58.5,31161.24,7060358,12.2,58.0
Country B,2009,Developing,296,635,0.72,45.0,70436.5,80567765,4.2,55.8
Country C,2003,Developing,24,444,7.77,59.5,26057.59,20644186,17.0,70.7
Country C,2001,Developing,442,206,11.94,63.5,56097.0,67700075,11.0,57.9
Country D,2003,Developed,104,416,10.15,66.3,45604.25,76700368,14.7,82.4
Country D,2012,Developed,412,438,7.64,68.4,80115.7,27950790,13.5,71.3
Country B,2010,Developing,574,164,12.43,69.3,42837.84,60634992,6.9,51.6
Country D,2004,Developed,665,558,3.42,38.9,86394.41,67489857,15.2,68.0
Country D,2001,Developed,294,419,12.46,72.2,64.57,66587956,16.9,80.6
Country B,2006,Developing,243,370,4.15,60.4,60503.39,78243168,14.9,62.3
Country B,2002,Developing,342,667,5.44,68.7,1030.21,87200983,15.5,59.8
Country C,2013,Developing,633,265,1.94,79.2,71407.74,76267201,7.2,46.9
Country A,2015,Developed,173,278,1.54,18.1,23530.49,60294863,18.9,83.8
Country D,2014,Developed,416,987,13.98,35.9,38029.13,43032740,8.5,73.8
Country B,2007,Developed,103,481,2.86,66.5,38074.73,44709680,17.9,77.8
Country C,2003,Developing,160,516,5.01,16.0,84649.92,31052166,17.2,65.8
Country A,2011,Developed,257,81,7.94,47.9,10254.17,1024831,2.5,73.0
Country D,2010,Developing,557,118,5.22,70.1,66706.35,19347686,19.3,59.5
Country C,2004,Developed,576,773,13.05,11.3,98126.62,21678100,19.9,72.6
Country A,2002,Developing,196,636,13.51,75.8,2287.32,17610720,12.1,60.2
Country D,2012,Developed,391,937,4.9,78.5,96591.13,90420400,15.7,77.4
Country C,2010,Developed,70,302,1.39,32.6,1889.55,20832590,18.7,84.5
Country D,2004,Developing,693,214,3.16,63.7,84122.89,77636926,0.4,47.6
Country A,2008,Developing,247,27,7.12,18.9,96126.38,72167611,18.6,66.7
Country B,2010,Developed,329,780,4.33,64.1,99303.09,75449950,12.5,79.0
Country C,2015,Developed,158,497,6.81,43.7,45939.18,34309393,16.6,79.5
Country A,2015,Developing,698,536,11.38,70.2,86702.4,70099900,10.8,50.8
Country D,2012,Developed,585,518,6.32,24.9,12277.84,62161026,10.6,67.8
Country A,2013,Developed,55,193,2.96,57.1,42567.16,20424353,18.0,81.1
Country A,2001,Developing,486,591,5.38,65.0,30832.1,40999084,10.1,57.7
Country B,2006,Developing,243,441,11.15,24.2,39547.95,97483576,9.4,62.5
Country C,2014,Developed,353,833,6.37,67.3,70212.99,57952713,12.2,76.2
Country A,2014,Developing,410,35,3.75,77.1,8793.65,32124592,10.4,60.3
Country B,2009,Developed,15,257,6.42,53.1,99816.49,93922658,8.9,79.4
Country B,2007,Developed,147,112,6.83,64.9,63524.96,69529299,3.6,74.6
Country B,2002,Developing,490,293,4.45,47.3,87358.08,796329,7.9,55.5
Country D,2010,Developed,656,713,14.94,51.9,82978.07,31988224,5.6,63.8
Country B,2003,Developed,25,13,11.52,10.9,76611.45,33449706,8.0,76.4
Country B,2012,Developed,611,666,10.39,46.7,3970.39,63940654,11.9,69.0
Country B,2010,Developed,691,910,12.82,50.3,51670.88,29759491,12.2,66.3
Country B,2009,Developed,333,596,10.0,56.9,32848.43,29569392,4.8,75.1
