Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000065,Male,Yes,0,Graduate,Yes,15759,28505,406.0,360,0.0,Rural,N
LP000066,Male,No,1,Not Graduate,Yes,3820,37168,418.0,360,1.0,Semiurban,Y
LP000067,Male,No,1,Not Graduate,No,75223,13899,182.0,180,0.0,Rural,N
LP000068,Male,Yes,2,Graduate,No,21178,18026,621.0,480,1.0,Semiurban,Y
LP000069,Male,Yes,1,Graduate,No,51986,17401,194.0,12,0.0,Urban,N
LP000070,Male,No,3+,Graduate,Yes,74877,5617,38.0,300,1.0,Urban,N
LP000071,Female,No,0,Not Graduate,No,9366,11665,478.0,180,1.0,Semiurban,Y
LP000072,Female,No,2,Graduate,Yes,14405,32412,388.0,360,1.0,Rural,Y
LP000073,Male,No,1,Not Graduate,Yes,21991,4471,320.0,360,1.0,Urban,Y
LP000074,Female,Yes,2,Not Graduate,No,12728,20850,86.0,240,1.0,Rural,Y
LP000075,Male,Yes,1,Graduate,No,20700,20634,543.0,84,1.0,Semiurban,Y
LP000076,Male,Yes,2,Not Graduate,Yes,69889,14877,537.0,12,0.0,Semiurban,N
LP000077,Male,Yes,0,Not Graduate,Yes,48767,12969,130.0,60,1.0,Semiurban,Y
LP000078,Female,Yes,0,Not Graduate,No,62794,15434,236.0,180,1.0,Rural,Y
LP000079,Female,Yes,0,Not Graduate,Yes,34751,36045,416.0,12,0.0,Rural,N
LP000080,Female,No,1,Graduate,No,5534,5955,183.0,84,1.0,Semiurban,Y
LP000081,Male,Yes,2,Not Graduate,No,71805,12131,561.0,300,1.0,Urban,Y
LP000082,Female,No,2,Not Graduate,Yes,62833,11136,23.0,300,0.0,Semiurban,N
LP000083,Female,Yes,2,Graduate,No,28985,19883,222.0,180,0.0,Urban,N
LP000084,Male,Yes,3+,Graduate,Yes,21559,11110,611.0,180,0.0,Urban,N
LP000085,Female,No,1,Not Graduate,Yes,17826,1444,60.0,60,0.0,Urban,N
LP000086,Female,Yes,0,Graduate,No,30028,15008,324.0,240,1.0,Rural,Y
LP000087,Female,No,0,Graduate,No,63555,31932,65.0,300,1.0,Urban,Y
LP000088,Female,No,2,Not Graduate,Yes,4425,32780,297.0,36,1.0,Urban,Y
LP000089,Male,No,2,Graduate,No,8113,27504,157.0,120,0.0,Semiurban,N
LP000090,Male,Yes,3+,Not Graduate,Yes,68331,31713,416.0,180,0.0,Urban,N
LP000091,Male,No,1,Not Graduate,Yes,73523,30373,540.0,12,0.0,Urban,N
LP000092,Male,No,2,Not Graduate,No,61115,21660,377.0,120,0.0,Semiurban,N
LP000093,Male,No,2,Graduate,No,49910,20771,332.0,60,1.0,Rural,N
LP000094,Male,No,1,Not Graduate,No,73211,13927,621.0,60,0.0,Urban,N
LP000095,Female,No,2,Not Graduate,No,42192,14958,365.0,180,0.0,Rural,N
LP000096,Male,Yes,0,Not Graduate,No,58468,21252,438.0,12,1.0,Semiurban,Y
LP000097,Male,Yes,1,Graduate,No,25700,38538,41.0,120,0.0,Rural,N
LP000098,Female,Yes,0,Graduate,Yes,37237,31559,551.0,120,0.0,Urban,Y
LP000099,Female,No,3+,Not Graduate,Yes,7103,13211,682.0,120,1.0,Rural,Y
LP000100,Male,Yes,2,Not Graduate,Yes,21454,27025,294.0,60,0.0,Rural,N
LP000101,Female,Yes,2,Graduate,No,38889,6199,525.0,180,0.0,Semiurban,N
LP000102,Female,No,1,Not Graduate,No,25137,17480,689.0,12,1.0,Semiurban,Y
LP000103,Male,No,3+,Graduate,No,6188,17353,693.0,480,0.0,Semiurban,N
LP000104,Female,Yes,1,Not Graduate,Yes,2925,36019,125.0,12,0.0,Semiurban,N
LP000105,Female,Yes,3+,Graduate,No,7627,193,277.0,36,1.0,Semiurban,N
LP000106,Male,Yes,1,Not Graduate,No,72060,27420,171.0,84,1.0,Semiurban,N
LP000107,Male,No,1,Not Graduate,No,67969,23935,148.0,480,0.0,Semiurban,N
LP000108,Female,Yes,2,Graduate,Yes,17196,13047,689.0,360,1.0,Semiurban,Y
LP000109,Female,Yes,2,Graduate,Yes,79577,17636,152.0,480,1.0,Rural,Y
LP000110,Male,Yes,3+,Graduate,Yes,20675,17178,230.0,300,0.0,Semiurban,N
LP000111,Male,Yes,0,Not Graduate,No,41331,27298,596.0,480,0.0,Rural,Y
LP000112,Female,No,0,Graduate,No,901,34394,638.0,36,0.0,Urban,N
LP000113,Female,Yes,1,Graduate,Yes,14641,16082,618.0,12,0.0,Semiurban,N
LP000114,Male,No,2,Graduate,Yes,27892,37958,443.0,84,1.0,Urban,Y
LP000115,Male,Yes,1,Graduate,Yes,48886,7243,553.0,120,1.0,Semiurban,N
LP000116,Male,No,3+,Graduate,No,62407,30311,462.0,36,0.0,Urban,N
LP000117,Female,Yes,1,Graduate,No,50570,7364,75.0,480,1.0,Rural,N
LP000118,Male,Yes,1,Not Graduate,Yes,53407,31927,14.0,180,0.0,Semiurban,N
LP000119,Male,No,1,Graduate,Yes,43246,11711,249.0,300,0.0,Rural,Y
LP000120,Male,Yes,3+,Graduate,No,31778,17704,63.0,120,1.0,Urban,Y
LP000121,Female,Yes,3+,Graduate,Yes,76211,36227,391.0,84,0.0,Rural,Y
LP000122,Female,No,1,Not Graduate,Yes,24940,2369,442.0,240,0.0,Semiurban,N
LP000123,Female,No,2,Graduate,Yes,75749,18852,478.0,120,1.0,Rural,Y
LP000124,Male,No,3+,Not Graduate,Yes,29917,26233,79.0,300,0.0,Rural,N
LP000125,Male,Yes,0,Graduate,No,5477,11569,614.0,240,0.0,Urban,N
LP000126,Male,Yes,1,Not Graduate,No,58475,20421,458.0,120,1.0,Urban,Y
LP000127,Male,No,2,Graduate,No,49703,16729,488.0,300,0.0,Semiurban,N
LP000128,Female,No,3+,Not Graduate,Yes,63977,31434,151.0,12,0.0,Urban,N
LP000129,Female,No,1,Not Graduate,Yes,57375,28457,30.0,300,0.0,Rural,N
LP000130,Male,Yes,2,Graduate,No,58399,38148,569.0,60,0.0,Urban,N
LP000131,Male,Yes,0,Not Graduate,Yes,12794,30041,430.0,12,0.0,Semiurban,Y
LP000132,Male,No,3+,Graduate,No,31247,27282,656.0,360,0.0,Urban,N
LP000133,Male,No,3+,Not Graduate,Yes,79313,6292,400.0,180,1.0,Semiurban,N
LP000134,Male,No,0,Not Graduate,Yes,31780,34680,620.0,300,0.0,Semiurban,N
LP000135,Female,No,3+,Not Graduate,Yes,71560,31137,476.0,480,0.0,Rural,N
LP000136,Male,Yes,2,Not Graduate,No,1256,39964,301.0,84,0.0,Rural,N
LP000137,Female,No,3+,Graduate,No,79579,11877,129.0,36,1.0,Rural,Y
LP000138,Female,No,1,Graduate,Yes,8569,22479,446.0,180,1.0,Semiurban,Y
LP000139,Male,Yes,0,Graduate,Yes,56479,24434,109.0,36,0.0,Urban,Y
LP000140,Female,No,1,Not Graduate,No,41058,8058,195.0,12,0.0,Urban,N
LP000141,Female,No,3+,Not Graduate,No,38937,38448,167.0,240,0.0,Semiurban,N
LP000142,Male,Yes,1,Graduate,No,54989,19644,526.0,240,1.0,Semiurban,Y
LP000143,Male,No,2,Graduate,Yes,21174,2112,690.0,180,1.0,Urban,Y
LP000144,Male,No,1,Graduate,No,22905,26058,188.0,36,1.0,Urban,Y
LP000145,Male,No,2,Not Graduate,Yes,55690,33243,439.0,120,1.0,Semiurban,Y
LP000146,Female,Yes,2,Not Graduate,No,41724,325,220.0,12,0.0,Urban,N
LP000147,Male,No,2,Graduate,Yes,28506,19647,684.0,36,0.0,Urban,N
LP000148,Female,Yes,0,Graduate,No,77410,18519,648.0,120,0.0,Semiurban,N
LP000149,Female,Yes,1,Graduate,No,9277,15817,661.0,120,1.0,Semiurban,Y
LP000150,Female,Yes,2,Not Graduate,No,42854,20637,441.0,240,1.0,Rural,Y
LP000151,Male,No,2,Not Graduate,No,78355,9488,652.0,120,1.0,Rural,Y
LP000152,Female,Yes,1,Graduate,No,11028,281,109.0,180,0.0,Urban,N
LP000153,Female,Yes,3+,Graduate,No,41631,33424,328.0,36,1.0,Semiurban,Y
LP000154,Male,No,0,Not Graduate,No,63191,2210,106.0,120,0.0,Urban,Y
LP000155,Female,Yes,2,Graduate,Yes,65531,27821,287.0,300,1.0,Semiurban,Y
LP000156,Female,Yes,3+,Graduate,Yes,2355,31851,151.0,12,1.0,Urban,Y
LP000157,Male,Yes,3+,Graduate,Yes,64917,9092,353.0,480,0.0,Urban,N
LP000158,Female,No,3+,Not Graduate,No,24551,32911,364.0,240,1.0,Semiurban,Y
LP000159,Female,Yes,2,Graduate,Yes,33464,19753,599.0,300,0.0,Rural,N
LP000160,Female,Yes,2,Not Graduate,Yes,43663,36701,363.0,120,1.0,Rural,Y
LP000161,Male,No,2,Graduate,Yes,67755,30259,438.0,84,1.0,Semiurban,Y
LP000162,Female,No,1,Not Graduate,No,55512,21144,47.0,12,0.0,Urban,Y
LP000163,Male,Yes,2,Not Graduate,No,56155,19675,311.0,360,1.0,Urban,N
LP000164,Male,No,0,Graduate,No,29669,24748,557.0,36,1.0,Urban,Y
LP000165,Male,Yes,1,Not Graduate,No,52237,2048,433.0,120,0.0,Semiurban,N
LP000166,Female,No,0,Not Graduate,No,32934,32211,356.0,240,1.0,Rural,N
LP000167,Female,Yes,3+,Graduate,Yes,2959,27672,437.0,300,0.0,Semiurban,N
LP000168,Female,No,1,Graduate,Yes,8669,5323,294.0,480,0.0,Rural,N
LP000169,Female,Yes,1,Not Graduate,No,43107,1894,463.0,84,0.0,Rural,N
LP000170,Male,Yes,1,Graduate,Yes,25071,5320,332.0,480,1.0,Semiurban,Y
LP000171,Female,No,0,Graduate,Yes,63877,36744,527.0,12,0.0,Rural,N
LP000172,Female,No,0,Graduate,Yes,68040,13225,361.0,240,1.0,Rural,Y
LP000173,Male,No,3+,Graduate,Yes,12613,33176,311.0,480,0.0,Rural,N
LP000174,Female,No,2,Graduate,No,14798,28125,218.0,360,0.0,Urban,Y
LP000175,Male,No,0,Graduate,No,80927,6887,599.0,12,1.0,Semiurban,N
LP000176,Male,Yes,3+,Graduate,Yes,59876,8145,452.0,12,0.0,Urban,N
LP000177,Male,Yes,2,Not Graduate,No,20239,28183,141.0,240,0.0,Semiurban,N
LP000178,Male,No,1,Graduate,Yes,48089,20561,184.0,360,0.0,Urban,N
LP000179,Female,Yes,2,Graduate,No,40625,33370,95.0,120,1.0,Rural,N
LP000180,Male,Yes,0,Graduate,Yes,2898,20139,466.0,84,0.0,Urban,N
LP000181,Male,No,3+,Graduate,No,42466,32289,225.0,180,1.0,Urban,Y
LP000182,Female,Yes,1,Graduate,Yes,42476,20453,414.0,360,1.0,Semiurban,Y
LP000183,Male,No,1,Graduate,No,72098,22704,415.0,36,1.0,Semiurban,Y
LP000184,Male,Yes,2,Not Graduate,Yes,74063,38102,612.0,120,1.0,Urban,Y
LP000185,Female,Yes,2,Graduate,Yes,25492,9179,437.0,84,1.0,Semiurban,N
LP000186,Male,No,0,Not Graduate,Yes,57528,37004,240.0,60,0.0,Rural,N
LP000187,Female,Yes,1,Not Graduate,Yes,41021,20618,438.0,120,0.0,Rural,N
LP000188,Female,No,2,Not Graduate,Yes,71027,35886,46.0,240,0.0,Rural,Y
LP000189,Male,Yes,1,Not Graduate,No,59139,1083,432.0,60,1.0,Semiurban,Y
LP000190,Female,Yes,3+,Graduate,No,40858,3546,407.0,60,0.0,Semiurban,N
LP000191,Male,Yes,3+,Graduate,Yes,28311,34118,597.0,180,0.0,Urban,N
LP000192,Female,No,0,Graduate,Yes,17331,18378,587.0,120,0.0,Semiurban,N
LP000193,Female,No,1,Not Graduate,No,23800,14140,193.0,60,1.0,Urban,Y
LP000194,Male,Yes,2,Graduate,Yes,61599,27029,385.0,12,0.0,Semiurban,N
LP000195,Male,No,3+,Not Graduate,No,22886,17127,283.0,480,0.0,Semiurban,N
LP000196,Female,No,3+,Not Graduate,Yes,75537,36050,610.0,36,1.0,Urban,N
LP000197,Male,No,0,Graduate,No,32955,6611,294.0,60,0.0,Rural,N
LP000198,Male,Yes,3+,Not Graduate,Yes,14579,37678,356.0,84,0.0,Semiurban,N
LP000199,Male,No,0,Graduate,Yes,15742,36753,538.0,120,1.0,Urban,N
LP000200,Female,No,1,Not Graduate,Yes,58380,22140,15.0,480,1.0,Semiurban,Y
LP000201,Male,No,2,Not Graduate,Yes,62776,39209,196.0,360,1.0,Semiurban,Y
LP000202,Female,No,1,Graduate,Yes,64289,7976,608.0,84,1.0,Semiurban,N
LP000203,Female,No,1,Not Graduate,Yes,43839,20537,124.0,360,0.0,Semiurban,N
LP000204,Female,No,1,Graduate,No,32838,32039,507.0,120,1.0,Semiurban,Y
LP000205,Male,No,2,Graduate,Yes,69140,1949,71.0,60,0.0,Urban,Y
LP000206,Male,No,1,Graduate,No,60157,21877,449.0,240,1.0,Semiurban,Y
LP000207,Male,No,1,Not Graduate,Yes,46717,3133,352.0,300,1.0,Urban,Y
LP000208,Male,No,0,Graduate,No,3625,11709,595.0,360,1.0,Urban,Y
LP000209,Male,Yes,0,Graduate,Yes,52679,2134,387.0,360,0.0,Rural,N
LP000210,Male,Yes,0,Graduate,No,21575,26437,303.0,180,0.0,Urban,N
LP000211,Female,Yes,2,Graduate,No,45980,33378,691.0,360,0.0,Urban,N
LP000212,Female,Yes,3+,Not Graduate,Yes,54302,22501,240.0,60,0.0,Rural,N
LP000213,Male,Yes,3+,Graduate,Yes,45823,32731,448.0,36,1.0,Semiurban,Y
LP000214,Female,No,1,Graduate,Yes,27398,26906,402.0,120,1.0,Rural,Y
LP000215,Female,No,3+,Graduate,Yes,15319,35329,284.0,240,1.0,Semiurban,Y
LP000216,Female,No,1,Graduate,No,69919,23429,175.0,240,0.0,Semiurban,Y
LP000217,Male,No,0,Graduate,Yes,2612,33596,107.0,180,0.0,Urban,N
LP000218,Female,Yes,1,Not Graduate,Yes,19766,18079,420.0,60,1.0,Semiurban,Y
LP000219,Female,Yes,2,Graduate,No,43777,11072,236.0,180,1.0,Rural,Y
LP000220,Female,No,3+,Not Graduate,Yes,24580,22158,422.0,12,0.0,Rural,N
LP000221,Male,No,1,Graduate,Yes,32027,36233,322.0,60,0.0,Semiurban,N
LP000222,Female,Yes,0,Not Graduate,No,32164,34057,334.0,36,1.0,Rural,Y
LP000223,Male,No,2,Graduate,Yes,53622,28196,70.0,84,1.0,Rural,Y
LP000224,Male,No,1,Not Graduate,Yes,29542,38179,137.0,300,1.0,Urban,Y
LP000225,Male,Yes,1,Not Graduate,No,19497,27967,460.0,60,0.0,Urban,Y
LP000226,Male,No,1,Graduate,Yes,64085,16856,417.0,180,0.0,Urban,Y
LP000227,Female,No,2,Not Graduate,Yes,71602,39310,431.0,480,1.0,Semiurban,Y
LP000228,Female,No,1,Graduate,Yes,75856,10767,659.0,12,1.0,Urban,N
LP000229,Female,Yes,0,Graduate,No,78421,1896,238.0,84,1.0,Rural,Y
LP000230,Female,Yes,0,Not Graduate,Yes,32498,19538,579.0,120,0.0,Urban,Y
LP000231,Female,Yes,0,Not Graduate,No,26689,22701,685.0,120,0.0,Rural,N
LP000232,Female,Yes,0,Not Graduate,No,12692,11691,520.0,12,1.0,Urban,Y
LP000233,Female,Yes,2,Graduate,Yes,22417,17995,618.0,360,1.0,Rural,Y
LP000234,Female,Yes,0,Not Graduate,No,926,22818,346.0,120,1.0,Urban,N
LP000235,Male,Yes,0,Not Graduate,Yes,44369,20860,254.0,360,0.0,Urban,N
LP000236,Male,No,3+,Not Graduate,Yes,773,32106,657.0,240,0.0,Urban,N
LP000237,Female,Yes,0,Graduate,Yes,62643,24761,566.0,120,0.0,Urban,Y
LP000238,Male,No,2,Graduate,No,19920,13316,212.0,360,0.0,Rural,Y
LP000239,Male,Yes,3+,Not Graduate,Yes,14873,12197,201.0,120,1.0,Urban,Y
LP000240,Male,No,3+,Not Graduate,No,37693,36101,367.0,480,1.0,Semiurban,Y
LP000241,Female,No,2,Not Graduate,No,31477,18610,562.0,360,0.0,Urban,N
LP000242,Male,Yes,3+,Graduate,No,61724,3213,682.0,120,0.0,Urban,N
LP000243,Male,No,1,Not Graduate,Yes,33979,2517,262.0,12,0.0,Semiurban,N
LP000244,Female,Yes,0,Not Graduate,No,33205,29676,292.0,240,1.0,Rural,Y
LP000245,Female,No,1,Graduate,No,29914,11240,226.0,120,0.0,Semiurban,N
LP000246,Female,No,2,Graduate,No,52941,34922,620.0,120,1.0,Rural,Y
LP000247,Male,No,1,Not Graduate,No,40873,14906,581.0,180,1.0,Semiurban,Y
LP000248,Male,Yes,2,Not Graduate,No,22869,32529,560.0,180,1.0,Semiurban,Y
LP000249,Female,No,1,Graduate,No,75301,19486,190.0,240,0.0,Semiurban,N
LP000250,Female,No,0,Not Graduate,Yes,16032,20002,579.0,300,0.0,Rural,N
LP000251,Female,Yes,2,Graduate,No,78882,20227,231.0,12,0.0,Urban,N
LP000252,Female,Yes,2,Not Graduate,Yes,52387,16904,216.0,480,0.0,Urban,N
LP000253,Female,No,2,Not Graduate,Yes,79595,654,431.0,60,1.0,Semiurban,Y
LP000254,Male,Yes,3+,Not Graduate,Yes,27242,41,178.0,180,1.0,Rural,Y
LP000255,Female,Yes,0,Graduate,No,21823,14932,147.0,12,0.0,Rural,N
LP000256,Male,Yes,3+,Not Graduate,Yes,41788,11103,211.0,120,1.0,Urban,Y
LP000257,Female,Yes,3+,Graduate,Yes,19991,13135,262.0,120,1.0,Rural,Y
LP000258,Male,No,0,Not Graduate,No,35662,26884,174.0,480,0.0,Rural,Y
LP000259,Male,Yes,2,Graduate,No,18887,1513,577.0,360,0.0,Semiurban,N
LP000260,Female,No,3+,Not Graduate,Yes,32211,21150,643.0,36,1.0,Rural,Y
LP000261,Male,Yes,3+,Graduate,Yes,14839,20120,404.0,240,0.0,Rural,N
LP000262,Male,Yes,2,Graduate,Yes,37920,9472,434.0,360,1.0,Semiurban,Y
LP000263,Female,Yes,0,Not Graduate,No,4116,37692,455.0,300,0.0,Urban,N
LP000264,Male,No,0,Graduate,No,52043,27714,514.0,12,1.0,Urban,Y
LP000265,Male,No,0,Not Graduate,No,46684,21343,145.0,12,0.0,Rural,N
LP000266,Male,No,3+,Not Graduate,Yes,63280,26608,414.0,36,1.0,Semiurban,Y
LP000267,Female,No,0,Not Graduate,No,72021,34397,577.0,12,0.0,Urban,N
LP000268,Female,Yes,0,Graduate,No,19940,23610,587.0,300,0.0,Rural,N
LP000269,Male,No,3+,Not Graduate,No,52254,3249,239.0,240,0.0,Urban,Y
LP000270,Male,Yes,0,Not Graduate,Yes,54365,16844,252.0,180,1.0,Rural,Y
LP000271,Female,No,1,Not Graduate,No,13335,16673,294.0,36,0.0,Urban,N
LP000272,Female,Yes,0,Graduate,Yes,75462,30901,641.0,360,0.0,Semiurban,Y
LP000273,Male,No,0,Not Graduate,Yes,10956,223,62.0,12,1.0,Semiurban,Y
LP000274,Male,Yes,2,Not Graduate,No,18405,2445,400.0,12,0.0,Urban,Y
LP000275,Male,Yes,3+,Not Graduate,No,17160,16837,586.0,36,1.0,Semiurban,Y
LP000276,Female,No,2,Not Graduate,No,4916,34814,278.0,240,1.0,Urban,Y
LP000277,Male,No,1,Graduate,Yes,8367,30544,397.0,480,1.0,Urban,Y
LP000278,Male,Yes,0,Not Graduate,Yes,35966,31495,21.0,12,1.0,Semiurban,Y
LP000279,Male,Yes,2,Not Graduate,Yes,41731,5911,351.0,60,1.0,Rural,Y
LP000280,Female,No,2,Not Graduate,Yes,74594,12880,644.0,480,1.0,Semiurban,Y
LP000281,Male,Yes,1,Graduate,No,51962,25266,597.0,300,0.0,Rural,N
LP000282,Male,No,0,Not Graduate,No,73353,5479,347.0,240,1.0,Rural,Y
LP000283,Male,Yes,2,Not Graduate,Yes,51043,3386,32.0,300,0.0,Rural,Y
LP000284,Female,No,0,Not Graduate,Yes,40821,21208,43.0,180,1.0,Urban,Y
LP000285,Male,No,1,Not Graduate,Yes,20267,38933,594.0,300,0.0,Rural,N
LP000286,Male,No,1,Not Graduate,Yes,31328,18852,494.0,120,1.0,Rural,N
LP000287,Female,Yes,0,Not Graduate,No,70150,29821,430.0,360,1.0,Semiurban,Y
LP000288,Male,No,1,Graduate,No,60268,26004,298.0,480,0.0,Urban,Y
LP000289,Female,No,3+,Graduate,No,1995,38542,298.0,12,0.0,Urban,Y
LP000290,Female,No,2,Not Graduate,No,78115,20309,27.0,240,1.0,Rural,Y
LP000291,Female,No,3+,Graduate,Yes,24169,37993,636.0,180,1.0,Semiurban,Y
LP000292,Female,No,3+,Graduate,Yes,56879,37519,300.0,300,0.0,Rural,N
LP000293,Female,Yes,1,Graduate,No,80848,31264,386.0,36,0.0,Urban,Y
LP000294,Female,Yes,1,Not Graduate,No,56619,2218,162.0,12,1.0,Semiurban,Y
LP000295,Male,Yes,0,Not Graduate,No,19412,26928,651.0,12,1.0,Urban,N
LP000296,Female,No,3+,Graduate,No,3554,14669,136.0,36,0.0,Urban,N
LP000297,Male,Yes,2,Not Graduate,No,64735,7915,441.0,120,1.0,Urban,Y
LP000298,Female,No,0,Graduate,No,49684,7106,278.0,240,1.0,Urban,Y
LP000299,Male,Yes,0,Not Graduate,Yes,54312,874,523.0,360,0.0,Urban,N
LP000300,Male,Yes,0,Graduate,Yes,48628,15293,266.0,84,0.0,Semiurban,N
LP000301,Female,Yes,1,Not Graduate,No,42399,31577,350.0,360,1.0,Semiurban,N
LP000302,Male,Yes,1,Not Graduate,No,5218,8526,510.0,60,1.0,Urban,Y
LP000303,Male,No,0,Graduate,Yes,46886,38755,425.0,180,0.0,Rural,N
