Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
38,male,2,own,moderate,little,8784,26,domestic appliances,good
71,male,2,free,rich,rich,17351,46,business,bad
29,female,3,rent,quite rich,rich,2710,10,furniture/equipment,good
30,male,1,free,rich,rich,12178,20,business,bad
56,female,0,own,little,moderate,3505,26,business,good
40,female,0,own,moderate,little,5584,63,car,good
67,female,0,rent,quite rich,moderate,12531,9,car,good
63,female,3,free,quite rich,moderate,7080,12,education,good
60,male,0,rent,quite rich,rich,8004,40,radio/TV,good
45,female,1,free,quite rich,little,7190,41,radio/TV,good
31,male,3,free,moderate,moderate,10972,20,business,bad
34,female,2,free,little,little,3882,7,education,good
41,male,3,rent,quite rich,moderate,16279,62,education,bad
70,male,3,rent,quite rich,rich,264,10,domestic appliances,good
51,male,3,own,little,moderate,11831,37,car,good
68,male,1,rent,rich,rich,14407,46,education,good
65,female,2,free,quite rich,little,11756,47,furniture/equipment,bad
39,female,2,free,quite rich,moderate,8458,70,domestic appliances,good
27,male,3,free,rich,moderate,10221,45,business,good
71,male,3,rent,little,rich,18583,43,furniture/equipment,good
25,female,3,own,little,rich,8522,47,radio/TV,good
38,male,1,rent,quite rich,little,3329,42,car,bad
54,male,1,own,little,rich,8377,61,furniture/equipment,good
24,female,0,rent,rich,little,9460,60,business,good
43,male,2,free,moderate,moderate,15264,59,furniture/equipment,good
30,male,0,own,rich,little,15896,27,furniture/equipment,good
33,female,0,rent,rich,little,18458,32,education,bad
47,male,3,free,moderate,little,4114,52,car,bad
48,female,1,own,rich,moderate,10911,43,radio/TV,bad
22,female,0,own,quite rich,moderate,19147,44,business,bad
49,female,0,free,quite rich,rich,10572,20,domestic appliances,bad
33,female,0,free,little,little,6960,71,domestic appliances,bad
64,male,3,rent,little,moderate,8766,66,business,good
26,female,3,rent,rich,little,14636,65,radio/TV,good
39,female,1,free,quite rich,little,13588,13,business,bad
72,male,0,rent,quite rich,little,15566,49,education,good
61,female,0,free,moderate,moderate,10453,48,domestic appliances,good
57,male,1,free,little,little,5138,11,domestic appliances,good
62,female,1,rent,quite rich,little,11575,32,furniture/equipment,good
54,female,1,rent,rich,rich,19338,50,education,good
31,female,2,own,quite rich,little,9636,28,domestic appliances,bad
33,female,1,own,little,rich,15895,18,education,bad
60,male,3,rent,rich,little,6510,69,education,good
37,male,2,rent,little,rich,11517,30,radio/TV,good
61,male,1,rent,quite rich,moderate,15669,57,domestic appliances,bad
32,female,3,own,quite rich,moderate,13336,53,car,bad
73,female,1,rent,quite rich,little,3154,66,radio/TV,good
61,female,1,own,little,rich,11742,22,radio/TV,bad
43,male,2,own,rich,moderate,1373,45,education,good
26,female,3,own,quite rich,little,13680,31,car,bad
18,male,0,own,quite rich,little,15249,61,radio/TV,good
52,male,1,free,quite rich,rich,18904,45,car,bad
61,male,2,rent,moderate,rich,19358,13,domestic appliances,bad
37,female,3,rent,moderate,little,8371,50,education,good
62,female,1,free,rich,rich,18892,22,radio/TV,good
72,female,0,rent,little,rich,3896,46,car,bad
23,female,3,own,quite rich,moderate,13423,14,business,bad
59,male,3,free,quite rich,rich,7275,29,radio/TV,good
27,male,2,own,little,little,12799,16,radio/TV,good
65,female,1,free,little,rich,15103,40,radio/TV,bad
50,female,1,own,rich,little,17905,34,car,good
33,female,3,rent,little,little,9239,13,furniture/equipment,good
53,male,1,rent,quite rich,rich,11576,22,domestic appliances,bad
23,female,3,rent,rich,rich,3713,17,radio/TV,good
36,male,0,free,moderate,rich,14638,55,business,good
48,male,2,rent,rich,moderate,14325,29,business,good
19,male,1,free,rich,moderate,10797,42,education,bad
35,male,1,own,rich,rich,5191,16,furniture/equipment,good
59,male,2,rent,little,little,16260,64,furniture/equipment,bad
45,male,0,own,quite rich,rich,1147,60,car,good
21,male,0,rent,little,moderate,8494,32,education,bad
18,female,0,own,quite rich,moderate,855,65,car,bad
64,female,0,free,little,rich,3927,7,education,good
59,female,0,rent,rich,little,4797,23,domestic appliances,good
67,male,3,free,quite rich,little,8902,25,furniture/equipment,good
33,male,1,free,little,moderate,17408,68,domestic appliances,bad
62,female,1,own,rich,moderate,5506,7,car,good
64,male,1,rent,moderate,moderate,16583,47,education,good
19,male,3,free,little,little,14980,33,furniture/equipment,good
69,male,2,own,little,moderate,5406,34,furniture/equipment,good
53,male,0,own,moderate,moderate,6023,33,radio/TV,good
18,male,2,own,little,little,11136,65,car,bad
56,male,0,rent,moderate,moderate,16180,10,radio/TV,good
40,male,0,rent,quite rich,moderate,3768,20,furniture/equipment,good
43,male,2,own,moderate,rich,7025,37,car,good
28,male,1,rent,rich,moderate,5628,57,car,good
59,male,3,own,moderate,rich,13884,42,domestic appliances,bad
18,male,2,rent,quite rich,moderate,6923,20,business,bad
28,male,1,rent,moderate,moderate,6694,46,education,good
41,female,0,own,moderate,rich,14426,9,business,good
27,male,1,own,quite rich,moderate,9629,58,business,good
31,male,0,rent,little,rich,3977,32,furniture/equipment,good
31,female,0,own,little,moderate,14475,26,domestic appliances,good
24,female,1,own,rich,rich,18623,65,education,bad
40,female,0,own,rich,rich,15718,69,business,bad
60,male,3,own,moderate,moderate,4595,52,business,good
39,male,1,rent,little,moderate,8424,59,car,good
53,female,2,free,little,rich,13302,36,furniture/equipment,bad
44,female,0,rent,moderate,little,19348,22,business,good
73,female,0,own,quite rich,moderate,7296,55,education,good
19,male,3,own,little,moderate,4436,12,radio/TV,bad
56,male,3,rent,rich,little,16972,33,radio/TV,good
68,female,2,own,moderate,little,10103,15,furniture/equipment,bad
63,male,0,rent,quite rich,rich,6218,32,radio/TV,good
36,male,2,free,rich,moderate,12706,18,car,good
24,female,2,own,little,rich,15748,71,car,good
29,female,0,free,quite rich,moderate,7934,65,education,good
20,female,2,free,rich,little,15793,48,domestic appliances,bad
64,male,2,own,moderate,rich,8611,68,furniture/equipment,good
22,male,3,own,quite rich,moderate,6755,70,furniture/equipment,bad
25,male,3,rent,quite rich,moderate,6637,59,radio/TV,bad
31,male,2,rent,moderate,little,11541,41,business,good
53,male,0,own,little,little,13056,20,business,good
24,female,3,rent,little,moderate,19646,23,domestic appliances,bad
24,male,2,free,quite rich,little,2860,9,business,bad
67,male,1,free,quite rich,little,2723,16,domestic appliances,good
63,female,1,own,quite rich,rich,2938,11,education,good
49,female,2,rent,rich,moderate,5054,56,furniture/equipment,good
25,female,1,own,quite rich,rich,1540,63,radio/TV,good
29,female,3,free,little,little,10477,65,education,bad
27,male,0,own,moderate,moderate,19241,23,car,good
31,male,2,own,moderate,little,18322,22,car,bad
26,female,3,own,moderate,little,6761,39,car,good
55,male,0,own,quite rich,moderate,8447,35,domestic appliances,good
47,female,1,free,quite rich,little,8964,24,domestic appliances,good
22,male,1,own,moderate,rich,6922,14,furniture/equipment,good
18,male,1,own,rich,moderate,19977,45,car,bad
18,male,1,rent,rich,little,16699,49,domestic appliances,bad
74,female,3,own,rich,little,3231,64,domestic appliances,good
37,female,3,rent,rich,little,13035,30,business,good
66,male,0,own,little,moderate,14916,58,domestic appliances,bad
28,male,2,rent,moderate,rich,3065,53,car,good
43,female,0,own,little,little,5346,58,education,good
61,female,2,rent,quite rich,little,14200,54,car,bad
20,male,1,own,rich,little,18651,48,business,bad
23,male,1,own,rich,moderate,6923,24,car,bad
60,female,1,rent,moderate,little,1992,71,radio/TV,good
62,male,1,own,rich,little,5970,39,business,good
28,female,3,own,moderate,little,3759,59,furniture/equipment,good
25,female,0,own,quite rich,moderate,12523,6,car,bad
46,male,2,own,rich,rich,3784,60,domestic appliances,bad
27,male,2,free,rich,moderate,14935,20,education,bad
51,male,3,own,little,rich,5386,20,car,good
41,female,1,free,moderate,rich,5835,28,education,good
63,female,0,free,moderate,moderate,8804,71,radio/TV,good
65,female,1,own,rich,little,11723,51,furniture/equipment,bad
34,male,3,rent,little,rich,1884,14,domestic appliances,good
49,male,2,rent,rich,little,17158,71,business,good
28,female,3,own,moderate,rich,15367,71,business,bad
51,female,2,free,moderate,little,1972,23,furniture/equipment,good
41,male,0,rent,rich,little,8861,22,radio/TV,good
72,female,2,own,quite rich,moderate,4114,39,radio/TV,good
22,male,0,own,rich,little,1317,69,car,bad
46,male,1,free,little,rich,6688,49,radio/TV,good
65,female,1,rent,moderate,little,18053,34,car,good
65,female,3,own,moderate,little,7521,67,education,good
51,female,0,rent,rich,little,11575,21,furniture/equipment,bad
33,female,1,own,quite rich,rich,12078,57,education,bad
42,female,0,own,moderate,rich,14382,7,education,bad
54,male,1,own,rich,rich,17263,66,education,bad
25,female,1,free,quite rich,little,13692,9,education,bad
46,male,2,free,rich,moderate,2084,57,business,good
69,female,3,free,rich,rich,15376,46,radio/TV,good
63,female,2,rent,rich,little,2603,57,furniture/equipment,good
42,female,0,free,moderate,rich,14128,36,furniture/equipment,bad
59,female,1,free,quite rich,moderate,19689,31,domestic appliances,bad
40,female,3,rent,little,little,11382,32,education,bad
51,female,1,rent,little,rich,8453,56,furniture/equipment,good
20,male,1,rent,moderate,rich,10572,53,car,bad
47,female,2,rent,moderate,moderate,11545,16,furniture/equipment,bad
67,female,0,free,rich,rich,3407,13,education,good
70,female,3,free,rich,little,9876,17,furniture/equipment,good
51,female,3,rent,quite rich,little,17590,50,radio/TV,good
49,male,3,free,rich,moderate,12076,39,education,bad
70,male,0,own,quite rich,moderate,12345,52,business,bad
46,male,3,free,rich,moderate,13817,26,radio/TV,good
26,male,0,own,rich,little,8134,46,furniture/equipment,good
19,male,3,rent,little,moderate,2205,27,business,bad
74,male,1,rent,moderate,rich,10454,26,domestic appliances,bad
56,female,0,free,quite rich,rich,5241,33,radio/TV,good
24,female,2,rent,little,little,4315,19,domestic appliances,good
63,male,3,free,rich,rich,16317,57,car,good
22,female,2,free,little,moderate,14013,48,radio/TV,good
25,female,0,free,quite rich,rich,19437,24,business,good
49,female,1,free,moderate,moderate,12345,32,domestic appliances,bad
72,female,2,own,little,rich,17658,23,car,bad
71,female,2,own,quite rich,little,2579,18,domestic appliances,good
35,male,1,rent,rich,moderate,19332,6,furniture/equipment,bad
55,male,1,own,little,rich,16123,39,education,good
63,male,0,rent,moderate,little,3276,18,domestic appliances,good
35,male,3,rent,quite rich,rich,1261,56,furniture/equipment,good
66,male,2,free,moderate,little,5874,6,education,good
58,male,2,free,rich,rich,18334,33,education,bad
62,female,0,free,moderate,moderate,15479,37,business,bad
33,male,3,free,rich,moderate,13494,60,car,bad
38,female,0,free,rich,moderate,16852,31,car,good
27,female,2,free,little,moderate,12030,19,radio/TV,bad
59,male,2,own,rich,moderate,5835,68,furniture/equipment,good
21,male,1,rent,moderate,rich,16612,19,business,good
61,male,1,rent,little,rich,14355,32,domestic appliances,good
25,female,3,free,rich,rich,17445,46,furniture/equipment,bad
64,male,2,own,quite rich,rich,15087,8,domestic appliances,bad
70,male,2,free,quite rich,moderate,14643,64,domestic appliances,bad
72,male,1,own,rich,little,5706,28,domestic appliances,bad
36,female,0,own,little,moderate,4771,23,radio/TV,good
64,male,0,rent,little,rich,10025,46,radio/TV,bad
57,male,2,rent,little,moderate,14349,13,business,good
57,female,2,own,moderate,moderate,4287,37,radio/TV,good
68,female,3,rent,quite rich,moderate,9324,46,business,bad
26,female,3,own,rich,little,14236,50,radio/TV,good
47,male,1,own,rich,moderate,17065,14,car,good
73,male,2,own,quite rich,moderate,12476,53,business,good
34,female,0,rent,moderate,little,9389,29,car,good
57,male,3,free,little,moderate,12349,49,car,good
61,female,1,rent,quite rich,moderate,10109,63,business,good
32,female,1,free,rich,moderate,11424,71,furniture/equipment,good
21,female,0,rent,moderate,moderate,2789,23,education,bad
23,female,3,rent,rich,moderate,10555,34,radio/TV,good
33,female,0,free,little,rich,13449,7,domestic appliances,bad
43,male,1,own,quite rich,moderate,640,44,radio/TV,good
74,male,2,free,little,little,332,46,domestic appliances,good
54,male,0,own,moderate,moderate,17636,27,furniture/equipment,good
40,male,1,own,quite rich,rich,9218,54,education,good
30,female,2,rent,little,little,12531,33,furniture/equipment,bad
64,male,2,rent,little,little,15370,21,education,good
34,female,3,rent,little,moderate,10196,67,business,bad
74,female,3,rent,moderate,rich,11141,41,business,bad
71,male,1,rent,little,moderate,19890,27,domestic appliances,bad
44,male,0,free,rich,rich,19878,16,car,good
69,female,2,free,quite rich,rich,6257,47,car,good
39,male,3,free,quite rich,moderate,772,60,domestic appliances,good
54,male,3,free,little,rich,1944,40,business,good
36,male,0,rent,moderate,moderate,18886,62,domestic appliances,good
56,male,3,free,rich,rich,5087,39,car,good
52,female,1,free,rich,little,12051,9,domestic appliances,bad
30,female,0,own,quite rich,moderate,8719,51,business,good
31,male,2,rent,quite rich,rich,16781,16,furniture/equipment,bad
65,female,1,free,rich,little,8398,66,radio/TV,good
48,female,2,free,quite rich,little,13315,40,business,bad
62,male,2,free,little,little,12956,62,domestic appliances,bad
19,male,3,rent,rich,little,3870,16,business,good
63,female,1,free,quite rich,moderate,10881,17,business,bad
69,female,1,own,little,rich,9381,48,car,good
56,female,0,rent,little,little,14557,24,domestic appliances,bad
54,male,1,own,rich,rich,3959,64,car,bad
31,female,0,rent,little,rich,16236,7,domestic appliances,bad
26,female,1,free,rich,rich,14165,13,car,bad
27,male,2,rent,little,moderate,5344,27,car,good
24,female,0,rent,rich,moderate,9665,26,furniture/equipment,bad
45,male,1,rent,rich,little,16328,34,business,bad
63,male,0,own,rich,rich,15726,42,furniture/equipment,good
42,female,3,rent,rich,moderate,13780,34,car,good
63,male,3,free,little,moderate,7722,42,furniture/equipment,good
74,male,0,rent,rich,moderate,3613,26,business,good
45,female,0,rent,quite rich,little,19657,17,business,good
19,male,2,free,little,moderate,18451,53,car,bad
34,female,1,free,rich,rich,14390,52,business,good
69,male,3,own,little,moderate,17317,20,furniture/equipment,good
21,male,3,free,little,moderate,14565,18,education,bad
30,female,1,free,little,little,19544,64,business,bad
35,female,3,free,little,rich,14664,18,furniture/equipment,bad
20,female,3,rent,rich,moderate,2267,24,furniture/equipment,bad
68,male,0,own,little,rich,4473,62,furniture/equipment,bad
54,female,3,free,quite rich,rich,2434,37,business,bad
50,male,3,free,little,moderate,17991,26,education,good
58,female,3,free,little,little,6781,19,car,good
41,male,1,rent,quite rich,rich,4916,29,car,good
25,female,2,rent,rich,moderate,11505,54,business,good
52,male,0,own,quite rich,rich,2718,37,business,bad
19,female,2,own,moderate,rich,7541,16,radio/TV,good
50,male,3,rent,quite rich,rich,7505,65,domestic appliances,good
29,male,3,free,rich,moderate,4170,66,education,bad
39,male,3,free,quite rich,rich,4486,10,furniture/equipment,bad
30,male,2,own,little,rich,2189,41,domestic appliances,good
27,female,1,free,rich,little,4106,69,furniture/equipment,bad
34,male,1,rent,moderate,moderate,300,37,domestic appliances,good
60,female,0,own,rich,moderate,16176,71,car,bad
22,male,2,rent,little,rich,1610,15,domestic appliances,bad
74,female,1,rent,moderate,little,7055,26,business,good
26,male,0,free,rich,rich,12178,45,education,good
30,male,3,rent,rich,rich,12244,47,car,bad
69,female,3,rent,little,moderate,3295,51,domestic appliances,good
40,female,0,free,quite rich,little,11343,46,education,good
47,male,1,rent,quite rich,rich,507,9,business,good
60,female,2,free,moderate,moderate,11901,19,furniture/equipment,bad
72,female,0,rent,little,rich,294,19,radio/TV,good
21,female,1,free,little,rich,17968,58,education,bad
38,male,0,free,quite rich,little,17305,34,furniture/equipment,bad
60,female,1,own,quite rich,little,15604,28,education,bad
26,male,3,rent,moderate,little,13839,36,education,good
24,female,0,rent,quite rich,rich,7250,66,education,bad
33,female,2,own,moderate,little,14730,28,business,good
40,male,0,free,rich,moderate,6335,13,car,good
40,female,3,free,moderate,rich,484,21,education,good
48,female,3,own,moderate,little,7084,31,business,good
74,female,1,own,moderate,rich,15305,34,radio/TV,bad
22,female,3,free,rich,rich,3457,11,car,good
23,female,1,free,quite rich,moderate,2650,42,business,good
68,female,3,own,moderate,moderate,9859,38,radio/TV,good
18,female,1,rent,quite rich,moderate,12812,51,car,good
65,male,2,free,moderate,rich,7990,66,business,good
45,male,1,own,quite rich,rich,14434,46,radio/TV,bad
